row.names.dat_cd8_marker.	SD
119	ATP6V0C	3.82193624719862
116	CIB1	2.49314544359181
170	EIF3L	2.04715049696129
144	MBP	2.92017548335367
108	PRKCH	2.72805908240211
87	PCGF5	1.49335603932935
141	EIF4A3	1.72532208576343
41	HNRNPAB	1.45986680798239
64	B4GALT1	1.82194751429246
68	UBQLN1	1.38228832479308
171	ST13	3.16328898058849
44	MTCH1	2.05326151368942
85	ANAPC16	2.05710889792657
51	LAMTOR4	1.56764492872851
7	SCP2	1.30099472962868
161	LSM4	1.34537631249709
164	TBCB	1.52736589185163
127	RNF167	1.52666384407244
59	BNIP3L	1.8611521317457
16	HADHB	1.03891263453994
43	STK38	1.56059108973357
42	SRPK1	1.24862304464428
113	RORA	2.82402101176571
151	MKNK2	1.11501293192974
67	ANXA1	17.7922727275645
156	CDKN2D	0.965193479782583
91	KLRG1	1.79146877673722
158	DNAJB1	45.3611680741043
90	PTPN6	0.772174387939793
11	HIPK1	1.04446263181616
166	SLC1A5	1.16279240654885
128	USP22	1.14108552296959
93	KLRK1	1.39183071661249
92	KLRD1	3.04463900804336
21	ARL4C	2.16817074883665
38	ANXA6	2.10520669767382
98	ITGB7	1.33016438746628
74	CTSD	2.20234542595344
122	ITGAL	1.54982893335744
140	TMC6	1.29666727687584
81	CORO1B	1.39085193112048
39	PTTG1	1.86250722210461
84	RSU1	1.04249449641282
147	COMMD7	1.08435480928163
132	MLX	1.04119132489953
66	GLIPR2	1.17747998006681
169	MFNG	1.06433400241321
168	IL17RA	1.0787845716449
29	HMCES	1.00449239253691
2	PIK3CD	1.13769244065658
146	TXNL4A	1.0318331413403
143	DYM	0.959372546188788
99	DGKA	0.972526367166005
121	NSMCE1	1.09937584967912
54	CALU	0.917446367120605
103	CHFR	0.873764673960112
86	PPIF	1.01798320906967
56	PIM2	1.47486899014956
152	VAV1	0.891675808690518
135	UBE2Z	0.897215450894377
107	JKAMP	0.824946012646959
137	ICAM2	0.898548160342138
150	ARFRP1	0.764435076170334
110	WARS	0.812132258278418
82	DCPS	0.744515447482615
52	LRWD1	0.721086886125573
101	BRAP	0.778543089965345
40	DDX41	0.79713632477788
69	DPM2	0.754284909293494
105	RABGGTA	0.789115094981641
88	XPNPEP1	0.774461689260862
55	UBE2H	0.837635328123849
136	FAM117A	0.817141438379602
32	PLAC8	0.954704807089058
153	TIMM44	0.706944606305786
49	EIF3B	0.706041984603173
157	ACP5	2.35802413912118
94	KLRC1	2.34556243110004
37	RNF14	0.658031693826997
33	LEF1	0.800283418140025
172	TIAM1	0.708545926859341
79	RPS6KA4	0.591508823574932
19	IL18RAP	0.736520145511302
53	ORC5	0.564317235392442
106	DHRS1	0.660350060209481
97	RACGAP1	0.574843576166067
89	USP5	0.557537770140215
31	SMIM20	0.57414961943609
111	ZFYVE19	0.535748922912029
70	ABCA2	0.540258414521331
162	ISYNA1	0.542885660843702
80	FAM89B	0.514235319972366
13	SEMA4A	0.546385417891199
73	DEAF1	0.46560639353637
15	LDAH	0.413520311359785
185	HSD11B1	0.190374018941763
190	LY6H	0
188	DPEP1	0
180	DNM1	0
183	KCNJ8	0
189	KLK8	0.0123777789079799
181	PKP3	0.0236346465828943
174	PALD1	0.0180025646094558
177	TMEM45A	0.0333142474873205
178	FGFR3	0.0495595107828363
186	LGALS9B	0.0549208262672702
173	FCGR2B	0.140506665211139
184	LYSMD1	0.090913774803244
176	FHL2	0.131298111817989
175	ITGAX	0.140825343187191
187	GCAT	0.141845339232649
182	IFITM10	0.238758568003105
76	SWAP70	0.229401049193211
22	GPC1	0.258615743752254
167	ZIK1	0.26413217447397
179	GOLM1	0.351886609903435
57	MTMR1	0.332678933071176
104	CAB39L	0.314196886906772
25	CCR2	0.477321860111212
134	PNPO	0.345699910436196
8	CPT2	0.387051297859219
3	KIAA2013	0.444197891592507
145	PQLC1	0.471089774844066
142	DUS1L	0.459258533319445
129	GIT1	0.524865091789949
117	AXIN1	0.500088503611855
125	SETD6	0.499605455293314
46	PRIM2	0.530009015108003
50	BLVRA	0.543168155814287
100	TSPAN31	0.538470772707396
35	RAD17	0.579378785621437
77	BSCL2	0.588497219342859
65	RPP25L	0.602597667011464
18	FEZ2	0.705144972865008
47	REPS1	0.685703801117491
61	C8orf33	0.708935351259455
10	PHTF1	0.74605570414993
78	TMEM223	0.726400217452872
95	CMAS	0.708132620998173
165	PLD3	0.702326003367112
75	SMPD1	0.754046736421105
12	GDAP2	0.742128105666362
5	EBNA1BP2	0.752705067061322
133	EFTUD2	0.760615268687229
58	ENTPD4	0.853042343087334
62	AK3	0.944161552294732
30	EIF2B5	0.874811270353061
96	PRKAG1	0.856744432975215
34	DAP	0.835126960625575
120	DCTN5	0.816124690453566
124	HERPUD1	3.12848237763116
83	ETS1	2.15402823984098
