row.names.dat_cd8_marker.	SD
SKI	1.21605730099665
RERE	0.710429044145399
JUN	14.7997816368848
GADD45A	1.07504109527899
MCOLN2	1.57867749489421
RPL5	8.09894990864486
CTSS	1.26623880224499
IL6R	0.402299237934517
SELL	1.89325505210233
RGS2	4.98301789353408
SIPA1L2	0.196793304658994
RHOB	2.42063703104533
IFT172	0.281829261575705
SRSF7	8.12084374607838
ZFP36L2	19.9774480706816
WDR92	0.215909535409261
MOGS	0.682026695951164
PDK1	0.488811200073556
DNAJB2	1.18063447051872
D2HGDH	0.735447313428459
XPC	0.933695126184891
SATB1	2.53551367948833
NR1D2	0.802617209773184
RPL14	10.0044344819321
DALRD3	0.934464049001377
ZBTB20	0.993448258843202
IDUA	0.420962339723077
TLR6	0.12330427638198
HSD17B11	1.21468423364015
SLC12A7	0.661961255551196
IL7R	12.7958422219069
PARP8	2.28399589177355
SSBP2	0.673184371810206
PAM	0.944355960970698
TCF7	1.67784001286581
ADRB2	1.10312019791737
LARP1	0.982291772169494
NPM1	5.03007023843676
DUSP1	11.1411096007394
RREB1	0.496895277113613
ZSCAN26	0.494573974768582
ZKSCAN3	0.193115685048287
HSD17B8	0.383351231013173
TAPBP	2.49039865896566
PIM1	2.92095574344725
BCKDHB	0.334660409005611
PNRC1	5.54326448676583
NDUFAF4	0.99113186128977
SESN1	0.736420463138073
AKAP9	2.04910833050816
GALNT11	1.74764663963965
RPGR	0.461387471714253
RPS4X	14.1405770887075
MYC	1.40512474511012
CD72	0.251503010075075
RNF38	0.921189780736211
TNFSF8	0.973787566822423
TRAF1	2.18915973458763
FAM102A	1.7926410303063
NOTCH1	0.618166820383805
SLC3A2	3.97748434350599
NUMA1	1.34051762595556
ARRB1	0.169285332333386
RPS3	17.7666577560785
KLF6	8.39717522928288
GATA3	2.71749188885455
GSTO1	1.24641337575308
RGS10	2.06520217924321
PLEKHA1	0.995802881306552
CCND2	2.32717163049468
SLC11A2	0.406595839345622
HNRNPA1	5.95988037174945
IFNG	8.42261870718225
DUSP6	0.44661648303167
NR2C1	0.567107566212517
P2RX4	0.434695241554586
RGCC	7.81032573631315
LAMP1	1.59874519285613
IPO4	0.317790860606683
ENTPD5	0.233274793244807
FOS	13.0450453903174
EVL	3.0365954806804
HEXA	0.537457086032068
AXIN1	0.500088503611855
PKD1	0.480970264337273
IL4R	1.58359247086362
VKORC1	0.85515279284519
SNTB2	0.433124507780246
ZNRF1	0.530910327635056
TSR1	0.716212532715975
TP53	0.385058408656789
VAMP2	1.87517257888455
NLK	0.30947108918012
CCR7	3.53915263314035
EIF1	12.8163503362763
DDX5	5.54550972891214
SOCS3	1.43248010471401
CD7	10.8968435153961
SMAD7	0.9221052938915
NEDD4L	0.151771675177686
BCL2	0.90882397482581
NOP56	1.47742715106487
RBM39	3.36263213237965
LONP1	0.481443301261753
JUND	2.84754619879679
ATP13A1	0.815080855440376
ZFP36	21.507189132369
FBL	1.631265404254
RPS19	21.5907922532734
RABAC1	3.10677704469159
FOSB	2.45661058358809
C19orf48	0.646205651110066
IFNAR2	1.2983986175339
ABCG1	1.69498569758234
SMAD1	0.0973250748337166
KLF4	0.159350014914024
KCTD12	0.101081482097577
AQP9	0.0809045992379653
PRSS12	0.0933516795578381
TDRP	0
KCNJ8	0
OVGP1	0.0745773641140827
EYA2	0
