row.names.dat_cd8_marker.	SD
24	RPL14	10.0044344819321
64	RPS3	17.7666577560785
53	RPS4X	14.1405770887075
6	RPL5	8.09894990864486
109	RPS19	21.5907922532734
95	EIF1	12.8163503362763
47	PNRC1	5.54326448676583
45	PIM1	2.92095574344725
15	ZFP36L2	19.9774480706816
107	ZFP36	21.507189132369
105	JUND	2.84754619879679
77	RGCC	7.81032573631315
65	KLF6	8.39717522928288
12	RHOB	2.42063703104533
3	JUN	14.7997816368848
111	FOSB	2.45661058358809
81	FOS	13.0450453903174
73	IFNG	8.42261870718225
39	DUSP1	11.1411096007394
36	ADRB2	1.10312019791737
97	SOCS3	1.43248010471401
92	VAMP2	1.87517257888455
